date,volume,low,open,close,adjusted_close,high,candle,symbol,weight
2020-01-02T00:00:00,7357433.0,60.63,61.83,60.7,26.7620191278645,61.94,-1.13,XLB,
2020-01-03T00:00:00,12423161.0,59.7,60.08,59.72,26.32994699038,60.44,-0.36,XLB,
2020-01-06T00:00:00,15764364.0,59.41,59.55,59.46,26.2153156069658,59.83,-0.09,XLB,
2020-01-07T00:00:00,20266936.0,59.2,59.36,59.39,26.1844533114312,59.8,0.03,XLB,
2020-01-08T00:00:00,8079570.0,59.2,59.4,59.6,26.277040198035,59.84,0.2,XLB,
2020-01-09T00:00:00,3786159.0,59.63,59.79,59.82,26.3740359840009,59.93,0.03,XLB,
2020-01-10T00:00:00,5637369.0,59.48,59.96,59.58,26.2682223993108,60.11,-0.38,XLB,
2020-01-13T00:00:00,4409307.0,59.57,59.63,60.35,26.6077076501915,60.37,0.72,XLB,
2020-01-14T00:00:00,5505084.0,59.97,60.29,60.1,26.4974851661393,60.47,-0.19,XLB,
2020-01-15T00:00:00,3898548.0,60.08,60.09,60.51,26.6782500399849,60.79,0.42,XLB,
2020-01-16T00:00:00,9399931.0,60.52,60.72,60.87,26.83697041702,60.97,0.15,XLB,
2020-01-17T00:00:00,5447155.0,60.78,60.94,61.14,26.9560106997963,61.15,0.2,XLB,
2020-01-21T00:00:00,3807403.0,60.39,60.72,60.48,26.6650233418986,60.83,-0.24,XLB,
2020-01-22T00:00:00,2737533.0,60.21,60.61,60.24,26.5592097572085,60.66,-0.37,XLB,
2020-01-23T00:00:00,3462637.0,59.33,59.76,60.17,26.5283474616739,60.23,0.41,XLB,
2020-01-24T00:00:00,5246703.0,59.49,60.26,59.74,26.3387647891042,60.29,-0.52,XLB,
2020-01-27T00:00:00,6934583.0,58.45,58.68,58.45,25.7700167713951,58.87,-0.23,XLB,
2020-01-28T00:00:00,4491134.0,58.61,58.74,59.11,26.0610041292928,59.3,0.37,XLB,
2020-01-29T00:00:00,3569216.0,59.27,59.31,59.3,26.1447732171724,59.63,-0.01,XLB,
2020-01-30T00:00:00,8699069.0,58.14,58.52,58.93,25.9816439407752,59.01,0.41,XLB,
2020-01-31T00:00:00,11020746.0,57.44,58.39,57.63,25.408487023704,58.43,-0.76,XLB,
2020-02-03T00:00:00,12160604.0,57.8,57.85,58.84,25.9419638465164,59.1,0.99,XLB,
2020-02-04T00:00:00,13595070.0,59.32,59.56,59.88,26.4004893801734,60.2,0.32,XLB,
2020-02-05T00:00:00,17150356.0,59.97,60.4,60.99,26.889877209365,61.1,0.59,XLB,
2020-02-06T00:00:00,12375876.0,60.74,61.29,60.96,26.8766505112788,61.29,-0.33,XLB,
2020-02-07T00:00:00,7833262.0,59.88,60.58,60.09,26.4930762667772,60.58,-0.49,XLB,
2020-02-10T00:00:00,4525560.0,59.87,60.0,60.06,26.479849568691,60.22,0.06,XLB,
2020-02-11T00:00:00,4058398.0,60.35,60.38,60.39,26.6253432476398,60.94,0.01,XLB,
2020-02-12T00:00:00,3243470.0,60.52,60.8,60.72,26.7708369265887,60.84,-0.08,XLB,
2020-02-13T00:00:00,4117750.0,60.34,60.64,60.5,26.6738411406228,60.88,-0.14,XLB,
2020-02-14T00:00:00,3627477.0,60.35,60.52,60.51,26.6782500399849,60.74,-0.01,XLB,
2020-02-18T00:00:00,4708120.0,60.08,60.42,60.36,26.6121165495536,60.57,-0.06,XLB,
2020-02-19T00:00:00,6827391.0,60.46,60.5,60.52,26.682658939347,60.75,0.02,XLB,
2020-02-20T00:00:00,5180570.0,60.18,60.3,60.62,26.7267479329678,61.03,0.32,XLB,
2020-02-21T00:00:00,6520483.0,60.2,60.37,60.34,26.6032987508294,60.56,-0.03,XLB,
2020-02-24T00:00:00,9294372.0,58.37,58.81,58.64,25.8537858592747,59.08,-0.17,XLB,
2020-02-25T00:00:00,20061861.0,55.96,58.65,56.11,24.7383343206668,58.7,-2.54,XLB,
2020-02-26T00:00:00,14294980.0,55.83,56.41,55.92,24.6545652327872,57.16,-0.49,XLB,
2020-02-27T00:00:00,20697162.0,53.3,55.0,53.3,23.4994335999206,55.64,-1.7,XLB,
2020-02-28T00:00:00,30741660.0,51.15,51.61,52.72,23.2437174369196,52.81,1.11,XLB,
2020-03-02T00:00:00,16817336.0,52.63,53.22,54.98,24.2401286927511,54.99,1.76,XLB,
2020-03-03T00:00:00,28390170.0,53.77,55.16,54.5,24.0285015233709,56.14,-0.66,XLB,
2020-03-04T00:00:00,14079805.0,54.69,55.46,56.76,25.0249127792025,56.79,1.3,XLB,
2020-03-05T00:00:00,14177315.0,54.62,55.12,54.96,24.2313108940269,55.74,-0.16,XLB,
2020-03-06T00:00:00,18941140.0,52.49,53.53,53.53,23.6008382852486,53.98,0.0,XLB,
2020-03-09T00:00:00,14244014.0,48.36,49.68,48.52,21.3919797048433,51.53,-1.16,XLB,
2020-03-10T00:00:00,16718031.0,48.04,50.34,50.49,22.2605328791743,50.56,0.15,XLB,
2020-03-11T00:00:00,14954271.0,47.42,49.05,48.09,21.2023970322735,49.19,-0.96,XLB,
2020-03-12T00:00:00,15365798.0,42.37,44.57,43.46,19.1610766276275,46.51,-1.11,XLB,
2020-03-13T00:00:00,12114019.0,43.2,46.27,46.51,20.5057909330639,46.54,0.24,XLB,
2020-03-16T00:00:00,14427131.0,37.69,37.69,41.39,18.2484344596757,43.23,3.7,XLB,
2020-03-17T00:00:00,11044925.0,40.83,42.03,43.95,19.3771126963698,44.4,1.92,XLB,
2020-03-18T00:00:00,9875884.0,38.42,41.1,41.14,18.1382119756235,42.79,0.04,XLB,
2020-03-19T00:00:00,8986851.0,39.57,40.43,42.19,18.6011464086426,42.85,1.76,XLB,
2020-03-20T00:00:00,15248688.0,40.02,42.55,40.68,17.9354026049675,42.61,-1.87,XLB,
2020-03-23T00:00:00,18677399.0,38.16,40.16,38.35,17.0271415603117,40.44,-1.81,XLB,
2020-03-24T00:00:00,11879257.0,40.43,40.77,42.86,19.0295511675348,43.14,2.09,XLB,
2020-03-25T00:00:00,13576410.0,42.26,42.7,43.86,19.4735444285599,45.63,1.16,XLB,
2020-03-26T00:00:00,13383916.0,44.29,44.38,45.92,20.3881705462716,46.14,1.54,XLB,
2020-03-27T00:00:00,14075592.0,43.87,44.21,44.26,19.6511417329699,45.21,0.05,XLB,
2020-03-30T00:00:00,9754165.0,44.44,44.81,45.67,20.2771722310153,45.85,0.86,XLB,
2020-03-31T00:00:00,8508677.0,44.86,45.53,45.04,19.9974564765695,46.17,-0.49,XLB,
2020-04-01T00:00:00,10240402.0,42.89,43.39,43.01,19.0961501566886,44.24,-0.38,XLB,
2020-04-02T00:00:00,11784560.0,42.87,42.96,43.66,19.3847457763549,44.73,0.7,XLB,
2020-04-03T00:00:00,9265807.0,42.42,43.36,42.61,18.9185528522786,44.25,-0.75,XLB,
2020-04-06T00:00:00,10466711.0,44.44,44.44,45.78,20.3260114897281,46.12,1.34,XLB,
